Day fraction since midnight on 11/10/2022	7 kPa (cm)	Raw Water Pump ()	Pump Control ()	Clay Pump ()	PACl Pump ()	Floc Recycle Pump ()	Bulk Effluent Pump ()	ChemTrac Read All ()	PC 1.2 Total N ()	PC 1.2 Bin 1 N ()	PC 1.2 Bin 2 N ()	PC 1.2 Bin 3 N ()	PC 1.2 Bin 4 N ()	PC 1.2 Bin 5 N ()	PC 1.2 Bin 6 N ()	PC 1.2 Cell ()	PC 1.3 Total N ()	PC 1.3 Bin 1 N ()	PC 1.3 Bin 2 N ()	PC 1.3 Bin 3 N ()	PC 1.3 Bin 4 N ()	PC 1.3 Bin 5 N ()	PC 1.3 Bin 6 N ()	PC 1.3 Cell ()	PACl Scale ()	Raw Turbidity ()	Settled Water Turbidimeter ()	Basin Pump Duty Cycle ()
0.02326601	16.36591721	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4562.48866892	28657.00000000	154.00000000	504.00000000	3390.00000000	14168.00000000	10275.00000000	167.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.10000000	110.00000000	110.00000000	0.00000000
0.02396047	16.49117851	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4622.40203953	28621.00000000	111.00000000	378.00000000	2696.00000000	12306.00000000	12519.00000000	610.00000000	83.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.10000000	110.00000000	110.00000000	0.00000000
0.02465493	16.76729393	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4682.31506348	28625.00000000	135.00000000	457.00000000	3155.00000000	13519.00000000	11098.00000000	260.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.20000000	110.00000000	110.00000000	0.00000000
0.02534939	17.00563240	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4742.41861439	28599.00000000	143.00000000	472.00000000	3286.00000000	13828.00000000	10683.00000000	187.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.20000000	110.00000000	110.00000000	0.00000000
0.02604384	16.45605278	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4802.34731054	28554.00000000	147.00000000	483.00000000	3277.00000000	13940.00000000	10557.00000000	151.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.20000000	110.00000000	110.00000000	0.00000000
0.02673831	16.52713394	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4862.45156574	28593.00000000	158.00000000	505.00000000	3399.00000000	14160.00000000	10252.00000000	119.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.20000000	110.00000000	110.00000000	0.00000000
0.02743277	16.86115265	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4922.37902737	28565.00000000	155.00000000	525.00000000	3536.00000000	14449.00000000	9805.00000000	96.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.20000000	110.00000000	110.00000000	0.00000000
0.02812722	17.00625992	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	4982.48309851	28610.00000000	161.00000000	529.00000000	3556.00000000	14532.00000000	9741.00000000	92.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.20000000	110.00000999	110.00000000	0.00000000
0.02882167	17.44049263	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5042.39616585	28642.00000000	158.00000000	509.00000000	3375.00000000	14112.00000000	10300.00000000	188.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.02951614	17.61859894	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5102.30800724	28681.00000000	134.00000000	476.00000000	3251.00000000	13858.00000000	10744.00000000	217.00000000	84.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
